,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
83,"Sempre In Due","Carl Brave x Franco126",35963,https://open.spotify.com/track/6ElWuGFrYbsf2mdHWUoGCk
84,"L'amore è","Enrico Nigiotti",35929,https://open.spotify.com/track/0iOHkI1AyDXfDeoXEFaP2e
85,Chosen,Måneskin,35748,https://open.spotify.com/track/2lDgdWIGLYuk74pDeRPgPF
86,Magicabula,"JUNIOR CALLY",35380,https://open.spotify.com/track/0wBlRxVSWAPgezz4ZYDrGT
87,Occupato,DrefGold,34452,https://open.spotify.com/track/4DODnpnNZMZD1jR6NvyPuc
88,"El Party","Jake La Furia",34298,https://open.spotify.com/track/5xyExId5XWZplBvjmbIuy6
89,"Sick Boy","The Chainsmokers",34020,https://open.spotify.com/track/2JfXj2TERIkHwJpnG9f8uX
90,"Come neve",Giorgia,33483,https://open.spotify.com/track/4J2sEQXwxYI0csO3AYsnh5
91,"Ricchi Dentro",Ghali,33359,https://open.spotify.com/track/6QwcgyYWHB83EkUvz3XhDX
92,"Love Lies (with Normani)",Khalid,32820,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
93,"No Roots","Alice Merton",32595,https://open.spotify.com/track/5iwvoI2MM2tOrdUhNjcsqf
94,"Auto blu","JUNIOR CALLY",32520,https://open.spotify.com/track/5Px3bD732noiQ5ncREM0Xo
95,"Hollywood (feat. Gemitaiz)",MadMan,32516,https://open.spotify.com/track/1R1j6Z3HfBvkLnw1uTJJp0
96,"Le luci della città",Coez,32501,https://open.spotify.com/track/381VH1JFj9q08V1OMlPU5m
97,"Faccio un casino",Coez,32457,https://open.spotify.com/track/6qNXkVk19OYLu4CoqjDfZ0
98,"Acqua (Malpensandoti)",Tedua,32297,https://open.spotify.com/track/7ptjE5B67m9zEyB7Mbr44s
99,"Milano Bachata",Rkomi,32156,https://open.spotify.com/track/0obKdyLE89Hrry8slkX9Ey
100,Wannabe,Highsnob,31633,https://open.spotify.com/track/7lRVkZcxB8NUKeJkhswwn8
101,Corazón,Maluma,31130,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou
102,"Sconosciuti da una vita",J-AX,30828,https://open.spotify.com/track/2x82H3RSJRRQKZDMFlIpG3
103,"Look Alive (feat. Drake)","BlocBoy JB",30665,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
104,Ice,"Vegas Jones",30665,https://open.spotify.com/track/0CYKO0Gbg7QO8K8wlMbM2n
105,Lamborghini,Guè,30506,https://open.spotify.com/track/7G8g5Zrr5rj2OoKoXGnRb1
106,"Plug Walk","Rich The Kid",30482,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
107,"La Cintura","Alvaro Soler",30477,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
108,Pianeti,Ultimo,30099,https://open.spotify.com/track/2w5wtWq30yTkNSG9YjMFvW
109,Nisida,"Capo Plaza",29567,https://open.spotify.com/track/2bEzFrrZO5MMBjenGHxZYX
110,"New Rules","Dua Lipa",29401,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
111,"No Roots","Alice Merton",29377,https://open.spotify.com/track/7anBA0IdgFaN3Pbyk2tog0
112,"Non è detto","Laura Pausini",28588,https://open.spotify.com/track/47sPu7r17jwe0AQSj5nUOq
113,"Gli occhi della tigre",Nayt,28552,https://open.spotify.com/track/0eczHniJguffShMNltOqMo
114,"More Than You Know","Axwell /\ Ingrosso",27923,https://open.spotify.com/track/71bBFbfn2OBK5QwUJSLS44
115,"Something Just Like This","The Chainsmokers",27681,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
116,"Visiera A Becco","Sfera Ebbasta",27469,https://open.spotify.com/track/0nB7VgMGBTeOIO6LXwOvEJ
117,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",27421,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
118,Salsa,MadMan,27409,https://open.spotify.com/track/0Y1nFWH68Dexbdna7jg4Zy
119,Burnout,Tedua,27385,https://open.spotify.com/track/3tK7XzkTAXZTAsXzodsBYN
120,"El Préstamo",Maluma,27185,https://open.spotify.com/track/0QS5rZpm5zN9wV9lJgjyUE
121,"Veleno 6",MadMan,27019,https://open.spotify.com/track/7GfXjqXD9aBvDoBdZ7EwPH
122,Ciro,"Enzo Dong",26900,https://open.spotify.com/track/3t0eKlR4pVqcq81ynrzz2N
123,"Happy Days",Ghali,26564,https://open.spotify.com/track/3FLp4tu69GLt0KPizUhFsU
124,"XO Tour Llif3","Lil Uzi Vert",26482,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
125,Linda,"Emis Killa",26107,https://open.spotify.com/track/7hH6PsrlKQdNlvESUYKz79
126,Poetica,"Cesare Cremonini",26082,https://open.spotify.com/track/6m7ia7vhUezCfa1xWusWSF
127,"Mad Love","Sean Paul",25868,https://open.spotify.com/track/3soOPBuMK8YMdWnV7xpEyf
128,Wolves,"Selena Gomez",25212,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
129,"Fashion Week",Tedua,25024,https://open.spotify.com/track/1fGoFnExheBO89oKkiotyd
130,"Al lupo al lupo",Tedua,24938,https://open.spotify.com/track/54HneFr51YFxUIyeqWB23O
131,"Piano Piano Way",MamboLosco,24639,https://open.spotify.com/track/3QKOeXulifabbeVYqFEYLG
132,Chic,Izi,24207,https://open.spotify.com/track/7jUJ2RmT4PFHHq4goMWqm3
133,Ulalala,"Achille Lauro",24054,https://open.spotify.com/track/2NTxalkIR7Yz1nl5iIFWAz
134,Orgasmo,"Calcutta ",23964,https://open.spotify.com/track/5G22c0zkJae5EzQRyx3blf
135,"What Lovers Do (feat. SZA)","Maroon 5",23929,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
136,"La prima volta",Negramaro,23863,https://open.spotify.com/track/3kIxACxR2tDPtKCWWa16lq
137,Dende,Ghali,23831,https://open.spotify.com/track/0GaWvzS26hjyY3HGwjJ9YW
138,"Freaky Friday (feat. Chris Brown)","Lil Dicky",23737,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
139,"Say Something (feat. Chris Stapleton)","Justin Timberlake",23726,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
140,"How Long","Charlie Puth",23606,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
141,"Il fabbricante di chiavi",Tedua,23576,https://open.spotify.com/track/2UWB2SMuUb3AxH2WjnFmq8
142,"Wasabi 2.0",Tedua,23412,https://open.spotify.com/track/7KFV8DknfdYkdCNuAAChoc
143,"Try Me","The Weeknd",23360,https://open.spotify.com/track/2poOAWEj1CStqTVPgIHZ8s
144,"Walk It Talk It",Migos,23226,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
145,"Wild Bandana (feat. Tedua & Vaz Tè)",Izi,23178,https://open.spotify.com/track/4I0zrlR1lT6aHYiu79MzWy
146,Dune,Tedua,22833,https://open.spotify.com/track/2CEmTyHOiCOLCnjdX9RMCv
147,"I grandi non piangono mai",Mr.Rain,22811,https://open.spotify.com/track/051yIUwgzFc5v7ed3SYmTl
148,"Bene ma non benissimo",Shade,22788,https://open.spotify.com/track/7AujiK4ndTotwFOaGEjvOu
149,"Il Viaggio","Vegas Jones",22666,https://open.spotify.com/track/2k0LaBMLFoqPzmrvzv7sSw
150,goosebumps,"Travis Scott",22629,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
151,"Io non abito al mare","Francesca Michielin",22623,https://open.spotify.com/track/2awDnmL1D9cyIJFVruAQcF
152,"Allenamento #3","Capo Plaza",22531,https://open.spotify.com/track/5AzbJFy0A1AeYKaOnjW27N
153,Trappola,"Vegas Jones",22492,https://open.spotify.com/track/6dTlJRQwNS3S1HdNsyG7Nv
154,"El Farsante - Remix",Ozuna,22416,https://open.spotify.com/track/7uYgVgRSgqluZclLS7wpp4
155,"Se Preparó",Ozuna,22074,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
156,"Figli Di Papà","Sfera Ebbasta",22031,https://open.spotify.com/track/0X9tZPTijGk3YfqFK6Jbal
157,Amorfoda,"Bad Bunny",21840,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF
158,"La Finale","Vegas Jones",21634,https://open.spotify.com/track/1tv9SVrAPlHQjBEFIDNICH
159,Natura,Tedua,21571,https://open.spotify.com/track/0L7lo57bmjFSUjiVdcCrV0
160,Rital,Tedua,21449,https://open.spotify.com/track/4JFfGMEjMhmlwtdmh5JQiJ
161,"Galway Girl","Ed Sheeran",20962,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
162,Fuori,Gemitaiz,20931,https://open.spotify.com/track/2TgKrHaHbkAV8EGJWH4zJM
163,Thunder,"Imagine Dragons",20846,https://open.spotify.com/track/26gceVsA1ybT8qsX3aYLEn
164,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,20801,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
165,"Per Sempre (feat. Giulia Jean)",GionnyScandal,20703,https://open.spotify.com/track/6piirH61jEroydbQSLtopl
